"","X1","X2","X3","X4","Comun","Sci1","Sci2","Sci3","Sci4"
"555","Hoplopagrus","guentheri",NA,NA,"Hoplopagrus guentheri","NA NA","Hoplopagrus guentheri","guentheri NA","Hoplopagrus guentheri"
"556","Lobotes","pacificus",NA,NA,"Lobotes pacificus","NA NA","Lobotes pacificus","pacificus NA","Lobotes pacificus"
"557","Scomberomorus","sierra",NA,NA,"Scomberomorus sierra","NA NA","Scomberomorus sierra","sierra NA","Scomberomorus sierra"
"558","Scomberomorus","concolor",NA,NA,"Scomberomorus concolor","NA NA","Scomberomorus concolor","concolor NA","Scomberomorus concolor"
"559","Sectator","ocyurus",NA,NA,"Sectator ocyurus","NA NA","Sectator ocyurus","ocyurus NA","Sectator ocyurus"
"560","Nematistius","pectoralis",NA,NA,"Nematistius pectoralis","NA NA","Nematistius pectoralis","pectoralis NA","Nematistius pectoralis"
"561","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA","Seriola rivoliana","rivoliana NA","Seriola rivoliana"
"562","Seriola","peruana",NA,NA,"Seriola peruana","NA NA","Seriola peruana","peruana NA","Seriola peruana"
"563","Trachinotus","paitensisc",NA,NA,"Trachinotus paitensisc","NA NA","Trachinotus paitensisc","paitensisc NA","Trachinotus paitensisc"
"564","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA","Trachinotus rhodopus","rhodopus NA","Trachinotus rhodopus"
"565","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA","Sphyraena ensis","ensis NA","Sphyraena ensis"
"566","Oligoplites","altus",NA,NA,"Oligoplites altus","NA NA","Oligoplites altus","altus NA","Oligoplites altus"
"567","Decapterus","muroadsi",NA,NA,"Decapterus muroadsi","NA NA","Decapterus muroadsi","muroadsi NA","Decapterus muroadsi"
"568","Caranx","caballus",NA,NA,"Caranx caballus","NA NA","Caranx caballus","caballus NA","Caranx caballus"
"569","Seriola","lalandi",NA,NA,"Seriola lalandi","NA NA","Seriola lalandi","lalandi NA","Seriola lalandi"
"570","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA","Mugil cephalus","cephalus NA","Mugil cephalus"
"571","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA","Calamus brachysomus","brachysomus NA","Calamus brachysomus"
"572","Euthynnus","lineatus",NA,NA,"Euthynnus lineatus","NA NA","Euthynnus lineatus","lineatus NA","Euthynnus lineatus"
"573","Katsuwonus","pelamis",NA,NA,"Katsuwonus pelamis","NA NA","Katsuwonus pelamis","pelamis NA","Katsuwonus pelamis"
"574","Sarda","chiliensisb",NA,NA,"Sarda chiliensisb","NA NA","Sarda chiliensisb","chiliensisb NA","Sarda chiliensisb"
"575","Atractoscion","nobilis",NA,NA,"Atractoscion nobilis","NA NA","Atractoscion nobilis","nobilis NA","Atractoscion nobilis"
"576","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA","Cynoscion parvipinnis","parvipinnis NA","Cynoscion parvipinnis"
"577","Cynoscion","othonopterusd",NA,NA,"Cynoscion othonopterusd","NA NA","Cynoscion othonopterusd","othonopterusd NA","Cynoscion othonopterusd"
"578","Auxis","thazard",NA,NA,"Auxis thazard","NA NA","Auxis thazard","thazard NA","Auxis thazard"
"579","Auxis","rochei",NA,NA,"Auxis rochei","NA NA","Auxis rochei","rochei NA","Auxis rochei"
"580","Scomber","japonicus",NA,NA,"Scomber japonicus","NA NA","Scomber japonicus","japonicus NA","Scomber japonicus"
"581","symmetricus",NA,NA,NA,"symmetricus NA","NA NA","symmetricus NA","NA NA","symmetricus NA"
"582","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA","Micropogonias megalops","megalops NA","Micropogonias megalops"
"583","orientalis",NA,NA,NA,"orientalis NA","NA NA","orientalis NA","NA NA","orientalis NA"
"584","Opisthonema","bulleri",NA,NA,"Opisthonema bulleri","NA NA","Opisthonema bulleri","bulleri NA","Opisthonema bulleri"
"585","Opisthonema","medirastre",NA,NA,"Opisthonema medirastre","NA NA","Opisthonema medirastre","medirastre NA","Opisthonema medirastre"
"586","Scomber","japonicus",NA,NA,"Scomber japonicus","NA NA","Scomber japonicus","japonicus NA","Scomber japonicus"
"587","Cetengraulis","mysticetus",NA,NA,"Cetengraulis mysticetus","NA NA","Cetengraulis mysticetus","mysticetus NA","Cetengraulis mysticetus"
"588","Etrumeus","teres",NA,NA,"Etrumeus teres","NA NA","Etrumeus teres","teres NA","Etrumeus teres"
"589","symmetricus",NA,NA,NA,"symmetricus NA","NA NA","symmetricus NA","NA NA","symmetricus NA"
"590","Oligoplites","refulgens",NA,NA,"Oligoplites refulgens","NA NA","Oligoplites refulgens","refulgens NA","Oligoplites refulgens"
"591","Parastichopus","parvimensis",NA,NA,"Parastichopus parvimensis","NA NA","Parastichopus parvimensis","parvimensis NA","Parastichopus parvimensis"
"592","Xiphias","gladius",NA,NA,"Xiphias gladius","NA NA","Xiphias gladius","gladius NA","Xiphias gladius"
"593","Istiophorus","albicans",NA,NA,"Istiophorus albicans","NA NA","Istiophorus albicans","albicans NA","Istiophorus albicans"
"594","Istiophorus","platypterus",NA,NA,"Istiophorus platypterus","NA NA","Istiophorus platypterus","platypterus NA","Istiophorus platypterus"
"595","Prionace","glauca",NA,NA,"Prionace glauca","NA NA","Prionace glauca","glauca NA","Prionace glauca"
"596","Isurus","oxyrinchus",NA,NA,"Isurus oxyrinchus","NA NA","Isurus oxyrinchus","oxyrinchus NA","Isurus oxyrinchus"
"597","Alopias","vulpinus",NA,NA,"Alopias vulpinus","NA NA","Alopias vulpinus","vulpinus NA","Alopias vulpinus"
"598","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA","Mustelus henlei","henlei NA","Mustelus henlei"
"599","Mustelus","spp",NA,NA,"Mustelus spp","NA NA","Mustelus spp","spp NA","Mustelus spp"
"600","Squatina","californica",NA,NA,"Squatina californica","NA NA","Squatina californica","californica NA","Squatina californica"
"601","Carcharhinus","falciformis",NA,NA,"Carcharhinus falciformis","NA NA","Carcharhinus falciformis","falciformis NA","Carcharhinus falciformis"
"602","Sphyrna","lewini",NA,NA,"Sphyrna lewini","NA NA","Sphyrna lewini","lewini NA","Sphyrna lewini"
"603","Rhizoprionodon","longurio",NA,NA,"Rhizoprionodon longurio","NA NA","Rhizoprionodon longurio","longurio NA","Rhizoprionodon longurio"
"604","Sphyrna","zygaena",NA,NA,"Sphyrna zygaena","NA NA","Sphyrna zygaena","zygaena NA","Sphyrna zygaena"
"605","Carcharhinus","limbatus",NA,NA,"Carcharhinus limbatus","NA NA","Carcharhinus limbatus","limbatus NA","Carcharhinus limbatus"
"606","Mustelus","californicus","Cazon","californiano","Mustelus californicus","Cazon californiano","Mustelus californicus","californicus Cazon","Mustelus californicus"
"607","Mustelus","lunulatus","Cazon","mamon","Mustelus lunulatus","Cazon mamon","Mustelus lunulatus","lunulatus Cazon","Mustelus lunulatus"
"608","Nasolamia","velox","Coyotito,","punta","Nasolamia velox","Coyotito, punta","Nasolamia velox","velox Coyotito,","Nasolamia velox"
"609","Heterodontus","francisci","Tiburon","torito","Heterodontus francisci","Tiburon torito","Heterodontus francisci","francisci Tiburon","Heterodontus francisci"
"610","Galeorhinus","galeus","Tiburon","sulfin","Galeorhinus galeus","Tiburon sulfin","Galeorhinus galeus","galeus Tiburon","Galeorhinus galeus"
"611","Carcharhinus","leucas","toro,","Chato","Carcharhinus leucas","toro, Chato","Carcharhinus leucas","leucas toro,","Carcharhinus leucas"
"612","Carcharhinus","brachyurus","Tiburon","lobero","Carcharhinus brachyurus","Tiburon lobero","Carcharhinus brachyurus","brachyurus Tiburon","Carcharhinus brachyurus"
"613","Carcharhinus","obscurus","Gambuso,","prieto","Carcharhinus obscurus","Gambuso, prieto","Carcharhinus obscurus","obscurus Gambuso,","Carcharhinus obscurus"
"614","Carcharhinus","porosus","Tiburon","poroso","Carcharhinus porosus","Tiburon poroso","Carcharhinus porosus","porosus Tiburon","Carcharhinus porosus"
"615","Galeocerdo","cuvier","Tintorera",NA,"Galeocerdo cuvier","Tintorera NA","Galeocerdo cuvier","cuvier Tintorera","Galeocerdo cuvier"
"616","Alopias","superciliosus","Tiburon","coludo","Alopias superciliosus","Tiburon coludo","Alopias superciliosus","superciliosus Tiburon","Alopias superciliosus"
"617","Triakis","semifasciata","Tiburon","leopardo","Triakis semifasciata","Tiburon leopardo","Triakis semifasciata","semifasciata Tiburon","Triakis semifasciata"
"618","Heterodontus","mexicanus","Tiburon","torito","Heterodontus mexicanus","Tiburon torito","Heterodontus mexicanus","mexicanus Tiburon","Heterodontus mexicanus"
"619","cirratum",NA,"Gata","Ginglymostoma","cirratum NA","Gata Ginglymostoma","cirratum NA","NA Gata","cirratum NA"
"620","Sphyrna","mokarran","Martillo","grande","Sphyrna mokarran","Martillo grande","Sphyrna mokarran","mokarran Martillo","Sphyrna mokarran"
"621","Cephaloscyllium","ventriosum","Gata",NA,"Cephaloscyllium ventriosum","Gata NA","Cephaloscyllium ventriosum","ventriosum Gata","Cephaloscyllium ventriosum"
"622","Carcharhinus","falciformis","Aleta","de","Carcharhinus falciformis","Aleta de","Carcharhinus falciformis","falciformis Aleta","Carcharhinus falciformis"
"623","Sphyrna","lewini","Martillo,","cornuda","Sphyrna lewini","Martillo, cornuda","Sphyrna lewini","lewini Martillo,","Sphyrna lewini"
"624","Carcharhinus","limbatus","Puntas","Negras","Carcharhinus limbatus","Puntas Negras","Carcharhinus limbatus","limbatus Puntas","Carcharhinus limbatus"
"625","Nasolamia","velox","Zorrito,","coyotito","Nasolamia velox","Zorrito, coyotito","Nasolamia velox","velox Zorrito,","Nasolamia velox"
"626","Alopias","superciliosus","Tiburon","perro","Alopias superciliosus","Tiburon perro","Alopias superciliosus","superciliosus Tiburon","Alopias superciliosus"
"627","Alopias","pelagicus","Tiburon","perro","Alopias pelagicus","Tiburon perro","Alopias pelagicus","pelagicus Tiburon","Alopias pelagicus"
"628","Carcharhinus","leucas","Toro,","chato","Carcharhinus leucas","Toro, chato","Carcharhinus leucas","leucas Toro,","Carcharhinus leucas"
"629","Sphyrna","zygaena","Cornuda,","martillo","Sphyrna zygaena","Cornuda, martillo","Sphyrna zygaena","zygaena Cornuda,","Sphyrna zygaena"
"630","Mustelus","lunulatus","Cazon","mamon","Mustelus lunulatus","Cazon mamon","Mustelus lunulatus","lunulatus Cazon","Mustelus lunulatus"
"631","Galeocerdo","cuvier","Tintorera",NA,"Galeocerdo cuvier","Tintorera NA","Galeocerdo cuvier","cuvier Tintorera","Galeocerdo cuvier"
"632","Sphyrna","mokarran","Martillo","grande","Sphyrna mokarran","Martillo grande","Sphyrna mokarran","mokarran Martillo","Sphyrna mokarran"
"633","Rhizoprionodon","longurio","Cazon","bironche","Rhizoprionodon longurio","Cazon bironche","Rhizoprionodon longurio","longurio Cazon","Rhizoprionodon longurio"
"634","Carcharhinus","obscurus","Tiburon","prieto","Carcharhinus obscurus","Tiburon prieto","Carcharhinus obscurus","obscurus Tiburon","Carcharhinus obscurus"
"635","Ginglymostoma","cirratum","Gata",NA,"Ginglymostoma cirratum","Gata NA","Ginglymostoma cirratum","cirratum Gata","Ginglymostoma cirratum"
"636","Prionace","glauca","Tiburon","azul","Prionace glauca","Tiburon azul","Prionace glauca","glauca Tiburon","Prionace glauca"
"637","Alopias","vulpinus","Tiburon","perro","Alopias vulpinus","Tiburon perro","Alopias vulpinus","vulpinus Tiburon","Alopias vulpinus"
"638","Isurus","oxyrinchus","Tiburon","mako","Isurus oxyrinchus","Tiburon mako","Isurus oxyrinchus","oxyrinchus Tiburon","Isurus oxyrinchus"
"639","Carcharhinus","longimanus","Tiburon","aleta","Carcharhinus longimanus","Tiburon aleta","Carcharhinus longimanus","longimanus Tiburon","Carcharhinus longimanus"
"640","Carcharhinus","altimus","Tiburon","colorado","Carcharhinus altimus","Tiburon colorado","Carcharhinus altimus","altimus Tiburon","Carcharhinus altimus"
"641","Sphyrna","corona","Tiburon","martillo","Sphyrna corona","Tiburon martillo","Sphyrna corona","corona Tiburon","Sphyrna corona"
"642","Carcharhinus","limbatus","Puntas","Negras","Carcharhinus limbatus","Puntas Negras","Carcharhinus limbatus","limbatus Puntas","Carcharhinus limbatus"
"643","Thunnus","albacares","Atun","aleta","Thunnus albacares","Atun aleta","Thunnus albacares","albacares Atun","Thunnus albacares"
"644","Thunnus","orientalis","Atun","aleta","Thunnus orientalis","Atun aleta","Thunnus orientalis","orientalis Atun","Thunnus orientalis"
"645","Katsuwonus","pelamis","Barrilete",NA,"Katsuwonus pelamis","Barrilete NA","Katsuwonus pelamis","pelamis Barrilete","Katsuwonus pelamis"
"646","Thunnus","alalunga","Albacora",NA,"Thunnus alalunga","Albacora NA","Thunnus alalunga","alalunga Albacora","Thunnus alalunga"
"647","Thunnus","obesus","Patudo",NA,"Thunnus obesus","Patudo NA","Thunnus obesus","obesus Patudo","Thunnus obesus"
"648","Euthynnus","lineatus","Barrilete","negro","Euthynnus lineatus","Barrilete negro","Euthynnus lineatus","lineatus Barrilete","Euthynnus lineatus"
"649","Rangia","cuneata","Almeja","gallito","Rangia cuneata","Almeja gallito","Rangia cuneata","cuneata Almeja","Rangia cuneata"
"650","Polymesoda","caroliniana","Almeja","negra,","Polymesoda caroliniana","Almeja negra,","Polymesoda caroliniana","caroliniana Almeja","Polymesoda caroliniana"
"651","Rangia","flexuosa","Almeja","burra,","Rangia flexuosa","Almeja burra,","Rangia flexuosa","flexuosa Almeja","Rangia flexuosa"
"652","Codakia","orbicularis","Almeja","blanca","Codakia orbicularis","Almeja blanca","Codakia orbicularis","orbicularis Almeja","Codakia orbicularis"
"653","Mercenaria","campechiensis","Almeja","bola","Mercenaria campechiensis","Almeja bola","Mercenaria campechiensis","campechiensis Almeja","Mercenaria campechiensis"
"654","Farfantepenaeus","aztecus","Camaron","cafe","Farfantepenaeus aztecus","Camaron cafe","Farfantepenaeus aztecus","aztecus Camaron","Farfantepenaeus aztecus"
"655","Litopenaeus","setiferus","Camaron","blanco","Litopenaeus setiferus","Camaron blanco","Litopenaeus setiferus","setiferus Camaron","Litopenaeus setiferus"
"656","Farfantepenaeus","duorarum","Camaron","rosado","Farfantepenaeus duorarum","Camaron rosado","Farfantepenaeus duorarum","duorarum Camaron","Farfantepenaeus duorarum"
"657","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de","Sicyonia brevirostris","brevirostris Camaron","Sicyonia brevirostris"
"658","Farfantepenaeus","brasiliensis","Camaron","rojo","Farfantepenaeus brasiliensis","Camaron rojo","Farfantepenaeus brasiliensis","brasiliensis Camaron","Farfantepenaeus brasiliensis"
"659","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de","Sicyonia brevirostris","brevirostris Camaron","Sicyonia brevirostris"
"660","Farfantepenaeus","duorarum","Camaron","rosado","Farfantepenaeus duorarum","Camaron rosado","Farfantepenaeus duorarum","duorarum Camaron","Farfantepenaeus duorarum"
"661","Farfantepenaeus","aztecus","Camaron","cafe","Farfantepenaeus aztecus","Camaron cafe","Farfantepenaeus aztecus","aztecus Camaron","Farfantepenaeus aztecus"
"662","Farfantepenaeus","setiferus","Camaron","blanco","Farfantepenaeus setiferus","Camaron blanco","Farfantepenaeus setiferus","setiferus Camaron","Farfantepenaeus setiferus"
"663","Farfantepenaeus","brasiliensis","Camaron","rojo","Farfantepenaeus brasiliensis","Camaron rojo","Farfantepenaeus brasiliensis","brasiliensis Camaron","Farfantepenaeus brasiliensis"
"664","Sicyonia","brevirostris","Camaron","de","Sicyonia brevirostris","Camaron de","Sicyonia brevirostris","brevirostris Camaron","Sicyonia brevirostris"
"665","Trachypenaeus","spp.","Camaron","sintetico","Trachypenaeus spp.","Camaron sintetico","Trachypenaeus spp.","spp. Camaron","Trachypenaeus spp."
"666","Xiphopenaeus","kroyeri","Camaron","siete","Xiphopenaeus kroyeri","Camaron siete","Xiphopenaeus kroyeri","kroyeri Camaron","Xiphopenaeus kroyeri"
"667","Litopenaeus","setiferus","Camaron","blanco","Litopenaeus setiferus","Camaron blanco","Litopenaeus setiferus","setiferus Camaron","Litopenaeus setiferus"
"668","Cardisoma","guanhumi","Cangrejo","azul","Cardisoma guanhumi","Cangrejo azul","Cardisoma guanhumi","guanhumi Cangrejo","Cardisoma guanhumi"
"669","Ucides","cordatus","Cangrejo","Morro","Ucides cordatus","Cangrejo Morro","Ucides cordatus","cordatus Cangrejo","Ucides cordatus"
"670","Strombus","gigas","Caracol","rosado,","Strombus gigas","Caracol rosado,","Strombus gigas","gigas Caracol","Strombus gigas"
"671","Turbinella","angulata","Caracol","tomburro","Turbinella angulata","Caracol tomburro","Turbinella angulata","angulata Caracol","Turbinella angulata"
"672","Busycon","perversum","Caracol","trompillo,","Busycon perversum","Caracol trompillo,","Busycon perversum","perversum Caracol","Busycon perversum"
"673","Pleuroploca","gigantea","Caracol","rojo","Pleuroploca gigantea","Caracol rojo","Pleuroploca gigantea","gigantea Caracol","Pleuroploca gigantea"
"674","Strombus","costatus","Caracol","blanco,","Strombus costatus","Caracol blanco,","Strombus costatus","costatus Caracol","Strombus costatus"
"675","Strombus","pugilis","Caracol","canelo","Strombus pugilis","Caracol canelo","Strombus pugilis","pugilis Caracol","Strombus pugilis"
"676","Melongena","melongena","Caracol","negro","Melongena melongena","Caracol negro","Melongena melongena","melongena Caracol","Melongena melongena"
"677","Melongena","corona","Caracol","chivita","Melongena corona","Caracol chivita","Melongena corona","corona Caracol","Melongena corona"
"678","Fasciolaria","tulipa","Caracol","campechana","Fasciolaria tulipa","Caracol campechana","Fasciolaria tulipa","tulipa Caracol","Fasciolaria tulipa"
"679","Callinectes","sapidus","Jaiba","azul","Callinectes sapidus","Jaiba azul","Callinectes sapidus","sapidus Jaiba","Callinectes sapidus"
"680","Callinectes","rathbunae","Jaiba","prieta","Callinectes rathbunae","Jaiba prieta","Callinectes rathbunae","rathbunae Jaiba","Callinectes rathbunae"
"681","Callinectes","bocourti","Jaiba","roma","Callinectes bocourti","Jaiba roma","Callinectes bocourti","bocourti Jaiba","Callinectes bocourti"
"682","Callinectes","similis","Jaiba","pequena","Callinectes similis","Jaiba pequena","Callinectes similis","similis Jaiba","Callinectes similis"
"683","Callinectes","danae","Jaiba","siri","Callinectes danae","Jaiba siri","Callinectes danae","danae Jaiba","Callinectes danae"
"684","Callinectes","ornatus","Jaiba",NA,"Callinectes ornatus","Jaiba NA","Callinectes ornatus","ornatus Jaiba","Callinectes ornatus"
"685","Menippe","mercenaria","Cangrejo","moro","Menippe mercenaria","Cangrejo moro","Menippe mercenaria","mercenaria Cangrejo","Menippe mercenaria"
"686","Arenareus","spp","Jaiba","roja","Arenareus spp","Jaiba roja","Arenareus spp","spp Jaiba","Arenareus spp"
"687","Panulirus","argus","Langosta","del","Panulirus argus","Langosta del","Panulirus argus","argus Langosta","Panulirus argus"
"688","Panulirus","guttatus","Langosta","pinta","Panulirus guttatus","Langosta pinta","Panulirus guttatus","guttatus Langosta","Panulirus guttatus"
"689","Macrobrachium","carcinus","Langostino",NA,"Macrobrachium carcinus","Langostino NA","Macrobrachium carcinus","carcinus Langostino","Macrobrachium carcinus"
"690","Macrobrachium","acanthurus","Camaron","prieto,","Macrobrachium acanthurus","Camaron prieto,","Macrobrachium acanthurus","acanthurus Camaron","Macrobrachium acanthurus"
"691","Macrobrachium","heterochirus","Camaron","manudo","Macrobrachium heterochirus","Camaron manudo","Macrobrachium heterochirus","heterochirus Camaron","Macrobrachium heterochirus"
"692","Atya","scabra","Burrito",NA,"Atya scabra","Burrito NA","Atya scabra","scabra Burrito","Atya scabra"
"693","Crassostrea","virginica","Ostion","americano","Crassostrea virginica","Ostion americano","Crassostrea virginica","virginica Ostion","Crassostrea virginica"
"694","Crassostrea","rhizophorae","Ostion","de","Crassostrea rhizophorae","Ostion de","Crassostrea rhizophorae","rhizophorae Ostion","Crassostrea rhizophorae"
"695","Acanthurus","bahianus","Cirujano","pardo","Acanthurus bahianus","Cirujano pardo","Acanthurus bahianus","bahianus Cirujano","Acanthurus bahianus"
"696","Acanthurus","chirurgus","Cirujano","rayado","Acanthurus chirurgus","Cirujano rayado","Acanthurus chirurgus","chirurgus Cirujano","Acanthurus chirurgus"
"697","Acanthurus","coeruleus","Cirujano","azul","Acanthurus coeruleus","Cirujano azul","Acanthurus coeruleus","coeruleus Cirujano","Acanthurus coeruleus"
"698","Ariopsis","felis","Bagre,","bosh,","Ariopsis felis","Bagre, bosh,","Ariopsis felis","felis Bagre,","Ariopsis felis"
"699","Bagre","marinus","Bagre","banderaR,","Bagre marinus","Bagre banderaR,","Bagre marinus","marinus Bagre","Bagre marinus"
"700","Bothus","ocellatus","Lenguado","B","Bothus ocellatus","Lenguado B","Bothus ocellatus","ocellatus Lenguado","Bothus ocellatus"
"701","Bothus","robinsi","Lenguado","B","Bothus robinsi","Lenguado B","Bothus robinsi","robinsi Lenguado","Bothus robinsi"
"702","Brotula","barbata","Lengua,","brotula,","Brotula barbata","Lengua, brotula,","Brotula barbata","barbata Lengua,","Brotula barbata"
"703","Alectis","ciliaris","Pampano","de","Alectis ciliaris","Pampano de","Alectis ciliaris","ciliaris Pampano","Alectis ciliaris"
"704","Carangoides","bartholomaei","Cojinuda","S","Carangoides bartholomaei","Cojinuda S","Carangoides bartholomaei","bartholomaei Cojinuda","Carangoides bartholomaei"
"705","Caranx","chrysos","Cojinuda,","cojinua","Caranx chrysos","Cojinuda, cojinua","Caranx chrysos","chrysos Cojinuda,","Caranx chrysos"
"706","Caranx","hippos","Jurel","amarillo,","Caranx hippos","Jurel amarillo,","Caranx hippos","hippos Jurel","Caranx hippos"
"707","Caranx","latus","Jurel","blanco,","Caranx latus","Jurel blanco,","Caranx latus","latus Jurel","Caranx latus"
"708","Caranx","lugubris","Jurel","negro","Caranx lugubris","Jurel negro","Caranx lugubris","lugubris Jurel","Caranx lugubris"
"709","Elagatis","bipinnulata","Macarela","salmon","Elagatis bipinnulata","Macarela salmon","Elagatis bipinnulata","bipinnulata Macarela","Elagatis bipinnulata"
"710","Oligoplites","saurus","Zapatero","S","Oligoplites saurus","Zapatero S","Oligoplites saurus","saurus Zapatero","Oligoplites saurus"
"711","Selene","brownii","Jorobado","T,","Selene brownii","Jorobado T,","Selene brownii","brownii Jorobado","Selene brownii"
"712","Selene","vomer","Jorobado,","papelillo,","Selene vomer","Jorobado, papelillo,","Selene vomer","vomer Jorobado,","Selene vomer"
"713","Selene","setapinnis","Jorobado,","papelillo","Selene setapinnis","Jorobado, papelillo","Selene setapinnis","setapinnis Jorobado,","Selene setapinnis"
"714","Seriola","sp.","Medregal,","coronado,","Seriola sp.","Medregal, coronado,","Seriola sp.","sp. Medregal,","Seriola sp."
"715","Seriola","dumerili","Esmedregal,","medregal","Seriola dumerili","Esmedregal, medregal","Seriola dumerili","dumerili Esmedregal,","Seriola dumerili"
"716","Seriola","rivoliana","Esmedregal","Ro","Seriola rivoliana","Esmedregal Ro","Seriola rivoliana","rivoliana Esmedregal","Seriola rivoliana"
"717","Seriola","zonata","CoronadoM",NA,"Seriola zonata","CoronadoM NA","Seriola zonata","zonata CoronadoM","Seriola zonata"
"718","Trachinotus","carolinus","Pampano","amarillo","Trachinotus carolinus","Pampano amarillo","Trachinotus carolinus","carolinus Pampano","Trachinotus carolinus"
"719","Trachinotus","falcatus","Palometa","Ro,","Trachinotus falcatus","Palometa Ro,","Trachinotus falcatus","falcatus Palometa","Trachinotus falcatus"
"720","Trachinotus","goodei","Pampano","J,","Trachinotus goodei","Pampano J,","Trachinotus goodei","goodei Pampano","Trachinotus goodei"
"721","Carcharhinus","brevipinna","Tiburon","aleta","Carcharhinus brevipinna","Tiburon aleta","Carcharhinus brevipinna","brevipinna Tiburon","Carcharhinus brevipinna"
"722","falciformis","Tiburon","sedoso","R","falciformis Tiburon","sedoso R","falciformis Tiburon","Tiburon sedoso","falciformis Tiburon"
"723","Carcharhinus","leucas","Tiburon","toro,","Carcharhinus leucas","Tiburon toro,","Carcharhinus leucas","leucas Tiburon","Carcharhinus leucas"
"724","Carcharhinus","limbatus","Tiburon","puntas","Carcharhinus limbatus","Tiburon puntas","Carcharhinus limbatus","limbatus Tiburon","Carcharhinus limbatus"
"725","Carcharhinus","porosus","Tiburon","poroso","Carcharhinus porosus","Tiburon poroso","Carcharhinus porosus","porosus Tiburon","Carcharhinus porosus"
"726","Carcharhinus","spp","Tiburones","Ro","Carcharhinus spp","Tiburones Ro","Carcharhinus spp","spp Tiburones","Carcharhinus spp"
"727","Galeocerdo","cuvieri","Tiburon","tintorera","Galeocerdo cuvieri","Tiburon tintorera","Galeocerdo cuvieri","cuvieri Tiburon","Galeocerdo cuvieri"
"728","Rhizoprionodon","terraenovae","Cazon","tripa,","Rhizoprionodon terraenovae","Cazon tripa,","Rhizoprionodon terraenovae","terraenovae Cazon","Rhizoprionodon terraenovae"
"729","de","ley",NA,NA,"de ley","NA NA","de ley","ley NA","de ley"
"730","Centropomus","parallelus","Chucumite","Ro","Centropomus parallelus","Chucumite Ro","Centropomus parallelus","parallelus Chucumite","Centropomus parallelus"
"731","Centropomus","pectinatus","Robalo","constantino","Centropomus pectinatus","Robalo constantino","Centropomus pectinatus","pectinatus Robalo","Centropomus pectinatus"
"732","Centropomus","poeyi","Robalo","prieto","Centropomus poeyi","Robalo prieto","Centropomus poeyi","poeyi Robalo","Centropomus poeyi"
"733","Centropomus","undecimalis","Robalo","blanco","Centropomus undecimalis","Robalo blanco","Centropomus undecimalis","undecimalis Robalo","Centropomus undecimalis"
"734","Brevoortia","gunteri","Sardina","de","Brevoortia gunteri","Sardina de","Brevoortia gunteri","gunteri Sardina","Brevoortia gunteri"
"735","Brevoortia","patronus","Sardina","lacha","Brevoortia patronus","Sardina lacha","Brevoortia patronus","patronus Sardina","Brevoortia patronus"
"736","Etrumeus","teres","Sardina","Sa","Etrumeus teres","Sardina Sa","Etrumeus teres","teres Sardina","Etrumeus teres"
"737","Harengula","clupeola","Sardina","carapachona","Harengula clupeola","Sardina carapachona","Harengula clupeola","clupeola Sardina","Harengula clupeola"
"738","Harengula","jaguana","Sardina","escamuda","Harengula jaguana","Sardina escamuda","Harengula jaguana","jaguana Sardina","Harengula jaguana"
"739","Opisthonema","oglinum","Sardina","vivita","Opisthonema oglinum","Sardina vivita","Opisthonema oglinum","oglinum Sardina","Opisthonema oglinum"
"740","Dasyatis","americana","Raya","latigo","Dasyatis americana","Raya latigo","Dasyatis americana","americana Raya","Dasyatis americana"
"741","Dasyatis","sabina","Raya","o","Dasyatis sabina","Raya o","Dasyatis sabina","sabina Raya","Dasyatis sabina"
"742","Eleotris","pisonis","Guabina","L","Eleotris pisonis","Guabina L","Eleotris pisonis","pisonis Guabina","Eleotris pisonis"
"743","Elops","saurus","Macabi,","machete","Elops saurus","Macabi, machete","Elops saurus","saurus Macabi,","Elops saurus"
"744","Anchoa","hepsetus","Anchoa","legitima","Anchoa hepsetus","Anchoa legitima","Anchoa hepsetus","hepsetus Anchoa","Anchoa hepsetus"
"745","Anchoa","lamprotaenia","Anchoa","ojuda","Anchoa lamprotaenia","Anchoa ojuda","Anchoa lamprotaenia","lamprotaenia Anchoa","Anchoa lamprotaenia"
"746","Anchoa","mitchilli","Anchoa","de","Anchoa mitchilli","Anchoa de","Anchoa mitchilli","mitchilli Anchoa","Anchoa mitchilli"
"747","Cetengraulis","edentulus","Anchoveta","rabo","Cetengraulis edentulus","Anchoveta rabo","Cetengraulis edentulus","edentulus Anchoveta","Cetengraulis edentulus"
"748","Sarda","sarda","Bonito","del","Sarda sarda","Bonito del","Sarda sarda","sarda Bonito","Sarda sarda"
